"","team","AdjEM","AdjO","AdjD","AdjT","luck"
"226","UC Davis",-5.74,97.3,103,69.8,-0.004
"227","Hampton",-6.1,90.4,96.5,70.1,-0.111
"228","Texas St.",-6.15,95.3,101.5,77.2,0.02
"229","Youngstown St.",-6.16,96.2,102.4,69.5,-0.078
"230","UC Riverside",-6.17,94.2,100.3,64.1,-0.039
"231","Arkansas Pine Bluff",-6.26,89.6,95.9,68,0.053
"232","East Carolina",-6.38,98.1,104.5,70,-0.017
"233","Furman",-6.61,94.5,101.1,70.5,-0.046
"234","Hawaii",-6.65,97.1,103.8,68.1,-0.053
"235","Holy Cross",-7.06,98.7,105.7,68.3,-0.143
"236","Northern Illinois",-7.15,94.6,101.8,72.3,-0.043
"237","IPFW",-7.15,93.3,100.4,69,0.039
"238","Santa Clara",-7.31,93.2,100.5,68.2,0.015
"239","Lafayette",-7.48,100.4,107.9,69.5,0.073
"240","Wyoming",-7.48,93.6,101.1,72.7,0.004
"241","UT Arlington",-7.56,92.2,99.7,74,0.01
"242","Cal Poly",-7.56,99.4,107,69.7,0.048
"243","North Dakota St.",-7.57,93.4,100.9,69.9,-0.052
"244","Bucknell",-7.73,94.3,102.1,66.8,-0.02
"245","Illinois Chicago",-7.74,92.4,100.2,70.5,-0.029
"246","Towson",-7.76,99.1,106.8,70.7,0.01
"247","South Dakota",-7.92,95.3,103.2,75.9,0.109
"248","Chattanooga",-7.99,93,101,72.2,0.032
"249","South Alabama",-8.21,92.1,100.3,68.1,0.116
"250","Rice",-8.22,91.9,100.1,69.2,-0.082
"251","Samford",-8.31,97.4,105.8,59,-0.078
"252","UC Irvine",-8.36,97.5,105.8,66.6,0.016
"253","UNC Greensboro",-8.44,92.7,101.1,69.4,-0.03
"254","Air Force",-8.59,94,102.6,60.5,-0.046
"255","South Carolina St.",-8.72,93.7,102.4,70.9,0.028
"256","Tennessee Tech",-8.92,100.8,109.7,69.6,0.098
"257","Delaware",-9.12,95.8,104.9,66.8,0.035
"258","Tennessee St.",-9.21,94.1,103.4,70.2,-0.009
"259","Army",-9.46,85.8,95.2,66.4,-0.019
"260","New Hampshire",-9.58,87.9,97.5,67.3,0.004
"261","Elon",-9.78,92.7,102.5,70.3,-0.022
"262","Delaware St.",-9.95,92.9,102.8,61.3,0.078
"263","Jacksonville St.",-10.11,94.3,104.4,69.3,-0.06
"264","Yale",-10.12,93,103.1,69.1,-0.036
"265","Eastern Washington",-10.2,93.1,103.3,71.5,-0.009
"266","North Florida",-10.23,87.9,98.1,66.3,0.095
"267","Texas Southern",-10.23,89.8,100.1,69.8,-0.007
"268","Kennesaw St.",-10.35,94.7,105,67.4,0.012
"269","Western Illinois",-10.42,87.7,98.1,63.8,-0.017
"270","LIU Brooklyn",-10.83,96,106.8,70.1,0.01
"271","Binghamton",-10.87,94.2,105.1,65.6,0.045
"272","Norfolk St.",-10.87,92.8,103.6,74.3,-0.025
"273","Nicholls St.",-11.03,95.7,106.7,64.7,0.013
"274","Jackson St.",-11.14,89.3,100.5,67.5,0.142
"275","UNC Asheville",-11.18,93.7,104.9,73.6,0.067
"276","Sacred Heart",-11.19,95.5,106.7,72.1,0.011
"277","USC Upstate",-11.37,87.9,99.3,68.5,-0.071
"278","Louisiana Monroe",-11.52,94.8,106.3,69,0.048
"279","McNeese St.",-11.56,95.5,107.1,68.1,-0.023
"280","Idaho St.",-11.57,100,111.5,65.5,-0.009
"281","Arkansas Little Rock",-11.65,95.7,107.4,68.5,-0.023
"282","Lamar",-11.75,93.6,105.3,70.6,0.052
"283","Liberty",-11.77,92.8,104.6,68.8,0.049
"284","Cal St. Bakersfield",-11.84,92.4,104.2,70.1,-0.015
"285","Brown",-11.89,96.5,108.4,68.6,0.003
"286","Pepperdine",-11.94,94.3,106.2,68.8,-0.002
"287","High Point",-12.13,93.9,106,71,0.05
"288","Alabama St.",-12.31,89.9,102.2,68.8,0.021
"289","Sacramento St.",-12.33,90.1,102.5,69.5,-0.003
"290","Navy",-12.41,92.2,104.6,74.2,0.076
"291","Colgate",-12.43,94.3,106.7,68.8,-0.03
"292","Bethune Cookman",-12.76,90.1,102.8,62.1,0.043
"293","American",-12.76,90.8,103.6,65.6,0.015
"294","Charleston Southern",-12.81,90.9,103.7,66,0.009
"295","Albany",-12.91,93.2,106.2,66.8,-0.073
"296","Monmouth",-13.24,88.7,102,68.9,-0.031
"297","Columbia",-13.27,88.5,101.8,66.7,0.039
"298","Longwood",-13.28,94.7,107.9,75.2,0.01
"299","UMKC",-13.31,94.5,107.8,68.1,0.042
"300","Georgia Southern",-13.4,94.2,107.6,73.7,0.079
"301","Florida Gulf Coast",-13.53,90.8,104.3,70,0.009
"302","North Carolina A&T",-13.64,90.1,103.7,71.2,-0.042
"303","Northwestern St.",-13.69,93.6,107.3,76.7,-0.007
"304","Central Arkansas",-13.98,89,103,66.9,-0.09
"305","Fordham",-14.03,89.5,103.5,74.2,-0.046
"306","FIU",-14.14,95,109.2,69.9,-0.018
"307","Savannah St.",-14.23,86.3,100.5,64.3,0.021
"308","Penn",-14.29,93.9,108.2,66.6,-0.043
"309","Central Connecticut",-15.23,89,104.2,65.9,-0.009
"310","Prairie View A&M",-15.37,82.1,97.4,69.5,0.047
"311","St. Francis NY",-15.46,85.7,101.2,66.9,0.046
"312","Hartford",-15.5,91.6,107.1,66.3,-0.039
"313","Southeast Missouri St.",-15.64,86.7,102.4,70,-0.045
"314","St. Francis PA",-16.14,92.8,108.9,66.2,0.027
"315","New Orleans",-16.27,85.6,101.9,66.7,0.001
"316","Fairleigh Dickinson",-16.97,88.3,105.3,70.4,0.053
"317","VMI",-17.76,99,116.8,85.4,-0.001
"318","Maryland Eastern Shore",-18.09,87.7,105.8,68,0.056
"319","Centenary",-18.17,92.1,110.2,72.5,0.009
"320","Texas Pan American",-18.23,85.9,104.1,69.2,-0.082
"321","Houston Baptist",-18.79,90,108.8,75.8,0.049
"322","UMBC",-18.84,91.9,110.7,68.8,-0.072
"323","Coppin St.",-19.02,85.8,104.8,68.1,-0.088
"324","Southern Utah",-19.03,86.1,105.2,69.3,-0.005
"325","Toledo",-19.13,85.6,104.7,63.5,0.008
"326","Utah Valley",-19.14,86.7,105.8,65.4,-0.028
"327","Alabama A&M",-19.29,84,103.3,73.5,-0.016
"328","Mississippi Valley St.",-19.92,87.9,107.9,70.5,-0.005
"329","Presbyterian",-20.23,87.8,108,65.7,-0.05
"330","Stetson",-20.33,87,107.4,68.6,0.043
"331","Winston Salem St.",-20.34,83.3,103.7,69.7,0.074
"332","Gardner Webb",-20.35,87.1,107.4,72.9,-0.005
"333","Florida A&M",-20.43,88.9,109.3,69.5,0.054
"334","Tennessee Martin",-20.61,86.4,107,72.8,-0.015
"335","Marist",-21.41,87.1,108.5,65.8,-0.014
"336","Wagner",-21.49,85.8,107.3,68.6,-0.014
"337","Howard",-21.53,84.7,106.2,67.5,0.01
"338","NJIT",-21.73,81.5,103.2,70.3,-0.059
"339","North Carolina Central",-21.98,82.4,104.3,69.3,-0.016
"340","SIU Edwardsville",-22.69,84.7,107.4,70.1,0.005
"341","Dartmouth",-23.72,79.7,103.4,65.7,0.023
"342","Chicago St.",-24.08,81.5,105.5,70.7,0
"343","North Dakota",-24.28,89.7,114,67.5,-0.005
"344","Grambling St.",-24.42,85.7,110.1,70.8,-0.002
"345","Southern",-26.16,80,106.1,71.8,-0.025
"346","Bryant",-31.49,76,107.5,65.3,-0.029
"347","Alcorn St.",-31.92,77.9,109.8,75.3,-0.03
