"","team_X","team_Y","AdjEM_x-y","AdjO_x-y","AdjD_x-y","AdjT_x-y","luck_x-y","W_x-y","L_x-y","W_L_ratio_x-y","SRS_x-y","SOS_x-y","TM_pt_x-y","OPPO_pt_x-y","PT_Ratio_x-y","True_S_x-y","seed_x-y","point_diff_x-y","result"
"16","West Virginia","Morgan State",NA,NA,NA,NA,NA,4,-3,0.086,20.34,16.41,-61,-192,0.0605844901924701,0.00900000000000001,-13,27,"X"
"17","Kansas","Lehigh",32.22,15.2,-17,-1.80000000000001,0.02,11,-8,0.25,28.01,16.04,459,-19,0.20726565666012,0.0269999999999999,-15,16,"X"
"18","UNLV","Northern Iowa",-2.4,0.900000000000006,3.19999999999999,7.5,-0.046,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-3,"Y"
"19","Michigan State","New Mexico State",NA,NA,NA,NA,NA,6,-3,0.11,13.27,6.51,-4,-278,0.11707873251053,-0.0169999999999999,-7,3,"X"
"20","Maryland","Houston",13.15,5.5,-7.59999999999999,-1.5,0.061,5,-7,0.184,11.01,4.47,-122,-370,0.11797150594066,0.032,-9,12,"X"
"21","Tennessee","San Diego State",NA,NA,NA,NA,NA,3,0,0.022,4.71,3.54,331,312,-0.00985006449082992,-0.00800000000000001,-5,3,"X"
"22","Georgetown","Ohio",13.99,9.2,-4.89999999999999,-2.5,0.031,1,-4,0.0810000000000001,12.47,9.59,-263,-323,0.0375741727779,0.0489999999999999,-11,-14,"Y"
"23","Oklahoma State","Georgia Tech",NA,NA,NA,NA,NA,-1,-2,0.028,-1.77,-2.05,-184,-122,-0.02175393684274,0.02,-3,-5,"Y"
"24","Ohio State","UCSB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,17,"X"
"25","Syracuse","Vermont",23.99,14.5,-9.5,2.3,-0.074,5,-5,0.143,22.98,13.9,375,57,0.13477743604072,0.0679999999999999,-15,23,"X"
"26","Gonzaga","Florida State",NA,NA,NA,NA,NA,5,-3,0.106,-2.53,-2.96,431,359,0.0110692845259099,0.0379999999999999,-1,7,"X"
"27","Butler","UTEP",5.72,3,-2.7,-4.90000000000001,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7,18,"X"
"28","Vanderbilt","Murray State",NA,NA,NA,NA,NA,-7,4,-0.134,6.55,11.75,-216,99,-0.1500918933673,-0.018,-9,-1,"Y"
"29","Xavier","Minnesota",2.87,3.40000000000001,0.5,3.3,0.066,5,-5,0.143,0.59,-1.38,260,191,0.01817064867439,-0.001,-5,11,"X"
"30","Pitt","Oakland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11,23,"X"
"31","BYU","Florida",7.78,4.8,-3,6,0.073,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,7,"X"
"32","Kansas State","North Texas",NA,NA,NA,NA,NA,5,-1,0.0570000000000001,22.37,15,512,281,0.0830688938509301,-0.013,-13,20,"X"
