"","team","W_L","AdjEM","AdjO","AdjD","AdjT","luck"
"166","Belmont","17-12","+0.10","100.3","100.2","70.2","+.020"
"167","Northwestern","12-17","-0.01","100.5","100.5","64.5","-.002"
"168","Ohio","14-16","-0.21","101.8","102.0","67.9","+.089"
"169","Ball St.","13-17","-0.33","103.3","103.6","72.5","+.013"
"170","Delaware","15-14","-0.36","96.5","96.9","71.7","+.007"
"171","TCU","9-19","-0.38","102.9","103.3","75.0","-.028"
"172","New Orleans","13-14","-0.53","98.6","99.2","69.5","+.006"
"173","Appalachian St.","16-10","-0.66","100.8","101.5","79.1","+.081"
"174","Marshall","13-15","-0.76","99.0","99.8","70.3","-.028"
"175","Mercer","22-6","-0.81","103.4","104.3","72.7","+.169"
"176","Pacific","12-16","-0.85","96.0","96.9","69.0","-.066"
"177","Akron","14-14","-0.91","106.8","107.8","70.0","-.025"
"178","Niagara","17-12","-0.93","105.7","106.6","70.0","+.092"
"179","Wagner","21-11","-1.13","102.2","103.4","70.7","+.048"
"180","Eastern Illinois","13-16","-1.24","104.1","105.3","72.8","-.022"
"181","Cal Poly","16-14","-1.32","94.7","96.0","72.0","+.056"
"182","Evansville","12-16","-1.49","102.5","104.0","69.9","+.047"
"183","Boise St.","12-16","-1.54","92.6","94.1","69.9","-.033"
"184","Bowling Green","11-16","-1.83","96.2","98.1","69.1","+.049"
"185","Oakland","15-11","-1.99","100.7","102.7","74.0","+.008"
"186","Idaho St.","13-14","-2.07","96.9","99.0","72.5","+.011"
"187","New Mexico","9-18","-2.23","103.9","106.2","68.5","-.024"
"188","Louisiana Tech","10-15","-2.37","98.9","101.3","70.6","+.035"
"189","Cal St. Northridge","13-15","-2.46","96.9","99.4","70.9","-.018"
"190","Northern Arizona","13-13","-2.53","96.6","99.2","71.5","+.006"
"191","Jacksonville St.","19-10","-2.61","100.6","103.2","71.6","+.064"
"192","Montana","12-16","-2.63","101.2","103.8","69.4","-.021"
"193","UT Arlington","14-13","-2.74","94.0","96.7","65.8","+.008"
"194","Northern Iowa","10-17","-2.74","99.2","102.0","67.1","-.010"
"195","Southwest Texas St.","15-12","-3.12","98.7","101.8","69.9","-.035"
"196","Massachusetts","10-18","-3.16","93.8","97.0","67.4","-.012"
"197","Maine","12-16","-3.22","97.0","100.2","71.3","-.099"
"198","Binghamton","14-13","-3.43","93.8","97.2","69.5","+.007"
"199","Hartford","15-13","-3.53","95.0","98.6","66.7","+.025"
"200","Green Bay","9-19","-3.62","99.1","102.7","68.8","-.061"
"201","Canisius","10-18","-3.73","96.2","99.9","71.8","-.115"
"202","Wofford","10-15","-3.74","101.1","104.8","71.4","+.016"
"203","Eastern Michigan","12-14","-3.78","101.2","105.0","75.6","+.056"
"204","Loyola Marymount","11-19","-3.94","95.1","99.1","73.4","-.022"
"205","Duquesne","9-21","-4.08","96.2","100.3","71.1","-.015"
"206","Samford","12-15","-4.09","97.8","101.9","62.1","-.009"
"207","Washington St.","7-20","-4.11","97.8","101.9","72.5","-.012"
"208","Portland","10-17","-4.13","95.6","99.7","71.5","+.012"
"209","Penn St.","7-21","-4.51","95.2","99.7","70.5","-.005"
"210","Idaho","12-15","-4.54","93.5","98.1","65.0","+.012"
"211","Houston","8-20","-4.80","90.5","95.2","66.3","+.022"
"212","McNeese St.","13-14","-4.85","96.0","100.8","71.7","+.015"
"213","Northeastern","14-15","-5.17","95.7","100.9","73.3","-.005"
"214","Marist","13-16","-5.22","98.1","103.3","72.0","+.051"
"215","Illinois St.","8-21","-5.35","96.7","102.1","67.9","-.051"
"216","James Madison","12-17","-5.56","96.0","101.5","69.9","-.004"
"217","Wright St.","9-18","-5.57","99.5","105.0","68.5","+.016"
"218","Montana St.","9-16","-5.60","97.0","102.6","65.4","-.041"
"219","Harvard","12-15","-5.62","96.7","102.3","73.1","-.007"
"220","Rider","12-16","-5.68","96.1","101.8","66.5","-.014"
"221","Bucknell","14-15","-5.71","88.3","94.0","65.9","-.005"
"222","Winthrop","18-10","-5.84","93.4","99.2","70.8","+.057"
"223","Lehigh","14-12","-5.87","94.7","100.6","68.1","+.030"
"224","Georgia St.","13-15","-6.04","98.0","104.1","69.5","-.033"
"225","Santa Clara","12-15","-6.14","94.2","100.4","67.9","+.083"
"226","Drake","8-20","-6.16","98.8","105.0","65.2","-.025"
"227","FIU","7-21","-6.20","91.7","97.9","64.8","-.101"
"228","Birmingham Southern","17-9","-6.55","96.9","103.4","67.0","+.036"
"229","Quinnipiac","16-12","-6.61","96.1","102.7","74.1","+.045"
"230","Tennessee Martin","10-14","-6.71","97.0","103.7","72.9","+.043"
"231","Georgia Southern","13-13","-6.87","99.4","106.2","74.0","+.080"
"232","North Texas","5-21","-7.14","95.9","103.0","73.5","+.005"
"233","Furman","11-17","-7.19","94.8","102.0","66.2","+.009"
"234","Cal St. Fullerton","10-19","-7.35","98.4","105.7","62.9","-.008"
"235","Colgate","12-14","-7.67","94.1","101.8","69.6","+.003"
"236","Mississippi Valley St.","13-13","-7.77","100.2","108.0","71.8","-.040"
"237","Cleveland St.","8-22","-7.90","94.5","102.4","69.5","-.011"
"238","Saint Peter's","10-19","-7.91","97.1","105.0","74.2","-.033"
"239","St. Francis NY","14-16","-7.95","97.2","105.1","74.1","-.028"
"240","Central Connecticut","15-13","-7.96","97.9","105.8","65.6","+.025"
"241","Hampton","19-11","-7.97","91.1","99.1","73.4","+.037"
"242","Monmouth","15-13","-8.07","88.5","96.6","70.4","+.069"
"243","Lamar","12-14","-8.38","89.5","97.9","69.7","-.005"
"244","South Carolina St.","20-11","-8.40","93.5","101.9","74.3","+.115"
"245","Centenary","10-14","-8.54","100.1","108.7","72.5","+.030"
"246","Sacramento St.","11-17","-8.67","91.1","99.8","71.9","+.069"
"247","Lafayette","11-16","-8.83","98.2","107.1","68.6","-.005"
"248","UNC Greensboro","6-22","-8.87","95.3","104.2","70.6","-.118"
"249","Prairie View A&M","17-12","-8.95","93.8","102.7","71.4","+.126"
"250","Charleston Southern","13-13","-9.02","90.8","99.9","68.1","+.019"
"251","Southeast Missouri St.","9-19","-9.05","99.0","108.1","68.7","-.011"
"252","Texas A&M Corpus Chris","11-15","-9.09","95.9","105.0","76.5","+.019"
"253","Youngstown St.","7-20","-9.15","89.8","98.9","69.2","+.024"
"254","Louisiana Monroe","11-16","-9.47","91.4","100.9","75.6","+.013"
"255","Hofstra","8-21","-9.52","91.8","101.3","71.4","-.031"
"256","Alabama St.","14-15","-9.76","87.7","97.5","67.8","-.025"
"257","St. Francis PA","14-14","-9.78","91.3","101.1","72.2","+.049"
"258","Fordham","3-25","-10.06","94.0","104.1","72.8","-.064"
"259","Buffalo","5-23","-10.11","92.4","102.5","69.7","-.127"
"260","Texas Southern","18-13","-10.23","95.8","106.0","71.3","+.038"
"261","Jacksonville","12-16","-10.34","90.2","100.5","70.2","+.031"
"262","Southeastern Louisiana","9-16","-10.38","93.0","103.4","68.8","+.024"
"263","Coastal Carolina","11-15","-10.40","95.0","105.4","68.8","-.018"
"264","Delaware St.","15-12","-10.42","97.2","107.6","61.1","+.068"
"265","Southern Utah","9-17","-10.51","97.3","107.9","67.9","+.005"
"266","Indiana St.","7-24","-10.52","87.9","98.4","65.3","-.029"
"267","Jackson St.","10-18","-10.61","90.6","101.2","75.0","-.035"
"268","UC Riverside","5-18","-10.65","95.4","106.1","70.5","+.021"
"269","Eastern Kentucky","7-17","-10.67","96.6","107.3","74.1","-.033"
"270","Florida A&M","17-12","-10.80","93.6","104.4","70.8","+.082"
"271","Stony Brook","11-15","-10.87","92.6","103.4","68.3","+.044"
"272","William & Mary","12-16","-10.92","97.5","108.4","65.5","+.061"
"273","IPFW","9-20","-10.95","93.0","103.9","71.9","+.057"
"274","UMKC","9-20","-11.14","98.9","110.0","67.8","+.005"
"275","Portland St.","4-21","-11.18","84.1","95.2","69.1","-.047"
"276","Howard","13-17","-11.32","94.8","106.1","72.6","-.080"
"277","Gardner Webb","4-24","-11.45","87.8","99.2","74.2","-.066"
"278","Alcorn St.","14-19","-11.53","89.8","101.4","73.4","+.027"
"279","San Jose St.","5-21","-11.59","93.4","105.0","68.4","+.012"
"280","Fairleigh Dickinson","15-14","-11.63","94.0","105.6","71.3","+.065"
"281","UTSA","9-17","-11.66","91.0","102.7","72.6","+.030"
"282","Western Carolina","6-18","-11.77","95.6","107.3","71.1","-.023"
"283","UNC Asheville","14-17","-12.17","98.7","110.9","70.6","+.118"
"284","Dartmouth","8-19","-12.37","94.2","106.5","62.5","-.058"
"285","LIU Brooklyn","9-19","-12.65","94.5","107.1","76.4","-.040"
"286","Robert Morris","9-17","-12.67","100.7","113.4","67.9","-.043"
"287","Coppin St.","11-17","-12.93","91.2","104.1","62.5","+.002"
"288","Florida Atlantic","6-21","-13.09","88.6","101.7","75.7","-.032"
"289","VMI","8-19","-13.84","88.7","102.5","69.3","+.027"
"290","The Citadel","4-20","-13.93","87.4","101.3","69.4","-.080"
"291","Navy","7-19","-13.96","87.4","101.4","68.1","-.030"
"292","Elon","9-16","-14.11","89.8","103.9","66.1","+.020"
"293","Cornell","8-18","-14.77","89.7","104.5","67.7","+.041"
"294","Norfolk St.","14-15","-14.98","84.8","99.8","69.2","+.021"
"295","Long Beach St.","4-22","-15.04","93.7","108.7","68.4","-.022"
"296","UTEP","5-24","-15.34","90.8","106.1","68.8","-.033"
"297","Liberty","14-15","-15.42","85.2","100.6","71.9","+.108"
"298","Grambling St.","10-18","-15.85","92.9","108.8","75.0","+.040"
"299","Mount St. Mary's","11-16","-15.87","87.4","103.3","67.7","+.102"
"300","Lipscomb","6-19","-15.95","95.5","111.5","74.4","-.116"
"301","Stetson","6-20","-16.10","92.6","108.7","74.7","-.013"
"302","Texas Pan American","6-20","-16.15","86.2","102.3","68.3","-.029"
"303","Sacred Heart","7-21","-16.40","90.1","106.5","73.6","-.003"
"304","Northwestern St.","6-21","-16.47","81.8","98.3","74.1","-.001"
"305","UMBC","7-20","-16.56","87.0","103.6","68.1","-.057"
"306","Western Illinois","5-21","-16.94","90.4","107.4","69.8","+.050"
"307","High Point","7-20","-17.40","92.7","110.1","70.8","-.031"
"308","Chicago St.","3-27","-17.84","90.2","108.0","69.0","-.037"
"309","Alabama A&M","7-18","-17.90","86.7","104.6","76.2","-.088"
"310","Albany","7-21","-18.18","92.1","110.3","68.8","+.050"
"311","New Hampshire","5-23","-18.18","91.0","109.2","73.0","-.038"
"312","Southern","7-19","-18.60","87.1","105.7","71.9","-.108"
"313","Radford","10-20","-19.30","85.7","105.0","71.3","+.067"
"314","Bethune Cookman","8-22","-21.91","86.8","108.7","70.0","-.018"
"315","Loyola MD","4-24","-22.31","84.7","107.0","67.0","+.001"
"316","Columbia","2-25","-22.54","79.5","102.1","63.1","-.033"
"317","Towson","4-24","-23.35","81.9","105.2","69.3","-.017"
"318","Campbell","4-22","-24.12","89.9","114.0","68.9","-.013"
"319","Maryland Eastern Shore","5-23","-24.14","87.1","111.2","67.9","-.056"
"320","Nicholls St.","1-25","-24.82","84.0","108.8","65.9","-.083"
"321","Morgan St.","7-22","-24.88","89.0","113.9","71.6","-.018"
"322","Arkansas Pine Bluff","4-24","-25.02","74.3","99.4","71.5","+.013"
"323","Army","3-22","-25.18","83.1","108.2","65.0","+.027"
"324","Savannah St.","3-23","-26.37","75.2","101.5","76.3","-.004"
"325","Morris Brown","4-20","-27.00","84.4","111.4","69.3","+.003"
"326","Tennessee St.","1-24","-27.24","88.3","115.6","78.5","-.007"
"327","North Carolina A&T","1-25","-34.59","80.9","115.5","72.0","-.014"
